"","Happiness.Score","border.countries","coastline","climate","religions","median.age","population.growth.rate","life.expectancy","health.expenditure","obesity.rate","government.type","GDP.growth.rate"
"64","5.96-7.54","1","1","hot","70-80","30-50","1","80-90","9-12","15-30","parliamentary republic","1"
"65","2.69-4.80","1","1","hot","40-50","10-30","1","50-60","3-6","0-15","presidential republic","1"
"66","4.80-5.96","0","1","hot","60-70","10-30","1","70-80","3-6","15-30","democracy","1"
"67","4.80-5.96","0","1","hot","70-80","30-50","0","80-90","9-12","0-15","monarchy","1"
"68","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","6-9","15-30","monarchy","1"
"69","4.80-5.96","1","0","varied","70-80","30-50","1","70-80","3-6","15-30","presidential republic","0"
"70","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","3-6","0-15","presidential republic","1"
"71","4.80-5.96","1","0","varied","90-100","10-30","1","70-80","0-3","15-30","parliamentary republic","1"
"72","5.96-7.54","1","1","hot","70-80","10-30","1","70-80","0-3","30-45","monarchy","1"
"73","4.80-5.96","1","0","hot","70-80","10-30","1","70-80","6-9","0-15","parliamentary republic","1"
"74","4.80-5.96","1","1","varied","10-20","30-50","0","70-80","3-6","15-30","parliamentary republic","1"
"75","4.80-5.96","1","1","hot","50-60","10-30","1","70-80","6-9","30-45","parliamentary republic","1"
"76","2.69-4.80","1","0","varied","70-80","10-30","1","50-60","9-12","0-15","monarchy","1"
"77","2.69-4.80","1","1","varied","80-90","10-30","1","50-60","9-12","0-15","presidential republic","1"
"78","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","3-6","30-45","in transition","0"
"79","4.80-5.96","1","1","varied","70-80","30-50","0","70-80","6-9","15-30","presidential republic","1"
"80","5.96-7.54","1","0","varied","80-90","30-50","1","80-90","6-9","15-30","monarchy","1"
"81","4.80-5.96","1","0","cold","60-70","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"82","2.69-4.80","0","1","hot","40-50","10-30","1","60-70","0-3","0-15","presidential republic","1"
"83","2.69-4.80","1","0","hot","80-90","10-30","1","60-70","9-12","0-15","presidential republic","1"
"84","5.96-7.54","1","1","hot","60-70","10-30","1","70-80","3-6","0-15","monarchy","1"
"85","2.69-4.80","1","0","hot","90-100","10-30","1","50-60","6-9","0-15","presidential republic","1"
"86","5.96-7.54","0","1","hot","80-90","30-50","1","80-90","9-12","15-30","parliamentary republic","1"
"87","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","presidential republic","1"
"88","4.80-5.96","0","1","hot","40-50","30-50","1","70-80","3-6","15-30","parliamentary republic","1"
"89","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","6-9","15-30","presidential republic","1"
"90","4.80-5.96","1","0","varied","90-100","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"91","4.80-5.96","1","0","varied","50-60","10-30","1","60-70","3-6","15-30","presidential republic","0"
"92","4.80-5.96","1","1","varied","70-80","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"93","4.80-5.96","1","1","varied","90-100","10-30","1","70-80","3-6","15-30","monarchy","1"
"94","2.69-4.80","1","1","hot","20-30","10-30","1","50-60","6-9","0-15","presidential republic","1"
"95","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","0-3","0-15","parliamentary republic","1"
"96","2.69-4.80","1","1","hot","70-80","10-30","1","60-70","6-9","15-30","presidential republic","1"
"97","4.80-5.96","1","0","hot","80-90","10-30","1","70-80","3-6","0-15","parliamentary republic","1"
"98","5.96-7.54","1","1","varied","20-30","30-50","1","80-90","9-12","15-30","monarchy","1"
"99","5.96-7.54","0","1","varied","40-50","30-50","1","80-90","9-12","30-45","democracy","1"
"100","5.96-7.54","1","1","hot","50-60","10-30","1","70-80","6-9","15-30","presidential republic","1"
"101","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","3-6","0-15","presidential republic","1"
"102","4.80-5.96","1","1","hot","40-50","10-30","1","50-60","3-6","0-15","presidential republic","0"
"103","5.96-7.54","1","1","cold","80-90","30-50","1","80-90","9-12","15-30","monarchy","1"
"104","4.80-5.96","1","1","hot","90-100","10-30","1","60-70","0-3","0-15","parliamentary republic","1"
"105","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","6-9","15-30","presidential republic","1"
"106","4.80-5.96","1","0","hot","80-90","10-30","1","70-80","9-12","15-30","presidential republic","1"
"107","4.80-5.96","1","1","hot","80-90","10-30","1","70-80","3-6","15-30","presidential republic","1"
"108","4.80-5.96","0","1","hot","80-90","10-30","1","60-70","3-6","0-15","presidential republic","1"
"109","5.96-7.54","1","1","cold","80-90","30-50","0","70-80","6-9","15-30","parliamentary republic","1"
"110","4.80-5.96","1","1","varied","80-90","30-50","1","70-80","9-12","15-30","presidential republic","1"
"111","5.96-7.54","1","1","hot","70-80","30-50","1","70-80","0-3","30-45","monarchy","1"
"112","4.80-5.96","1","1","cold","80-90","30-50","0","70-80","3-6","15-30","presidential republic","1"
